title,year,metacritic_rating,netflix,amazon_prime,hulu,imdb_rating
Boys Don't Cry,2000,90,,,,7.6
Together,2002,87,,,,7.4
Taxi Driver,1978,96,,,,5.4
The Circle,2003,88,,,,5
The Circle,2005,88,,,,5.8
The Circle,2005,88,,,,5.8
Spirited Away,2001,97,,,,8.6
Werckmeister Harmonies,2000,94,,,,8.2
Atanarjuat: The Fast Runner,2001,94,,,,7.5
After Life,1998,94,,,,7.7
Force of Evil,1948,92,,,,7.4
Tulpan,2008,91,,,,7.1
Time Out,2001,91,,,,7.4
To Be and to Have,2002,90,,,,7.9
Fateless,2005,90,,,,7
Tarnation,2003,90,,,,7.2
Marooned in Iraq,2002,90,,,,7.4
Under the Sand,2000,89,,,,7.2
Nausicaä of the Valley of the Wind,1984,89,,,,8.1
This Is England,2006,89,,,,7.7
The Son,2002,89,,,,7.7
The Endurance,2000,89,,,,7.9
Turtles Can Fly,2004,88,,,,8.1
Love and Diane,2002,88,,,,7.9
Domestic Violence,2001,88,,,,7.9
The Intruder,2004,88,,,,6.9
Since Otar Left,2003,88,,,,7.6
The Circle,2000,88,,,,7.5
Lagaan: Once Upon a Time in India,2001,88,,,,8.1
No Man's Land,2000,88,,,,7.2
Darwin's Nightmare,2004,88,,,,7.6
Kings & Queen,2004,87,,,,7.2
Lassie,2005,87,,,,6.7
The Pinochet Case,2001,87,,,,7.7
The Day I Became a Woman,2000,87,,,,7.3
Fighter,2000,87,,,,7.4
Welcome to the Dollhouse,1995,87,,,,7.4
Bus 174,2002,87,,,,7.9
The Gleaners & I,2000,87,,,,7.7
The White Diamond,2004,86,,,,7.5
Rivers and Tides: Andy Goldsworthy Working with Time,2001,86,,,,8
The Agronomist,2003,86,,,,7.5
My Summer of Love,2004,86,,,,6.8
Lilya 4-Ever,2002,86,,,,7.9
Read My Lips,2001,86,,,,7.4
Ten Canoes,2006,86,,,,7
Autumn Tale,1998,85,,,,7.6
My Voyage to Italy,1999,93,,,,8.3
The Best of Youth,2003,92,,,,8.5
Springtime in a Small Town,2002,89,,,,7
Offside,2005,89,,,,6.8
Distant,2002,88,,,,7.7
The Twilight Samurai,2002,86,,,,8.1
Merci pour le Chocolat,2000,86,,,,6.7
Taxi Driver,1973,96,,,,6.4
Cinderella,1947,88,,,,7.7
Taxidermia,2006,87,,,,7
Almost Famous,1996,93,,,,7.2
El Dorado,1963,89,,,,6.7
Sleeping Beauty,1955,89,,,,7.1
Venus,2002,86,,,,7
Sugar,2005,86,,,,5
Gone with the Wind,1939,99,,,t,8.2
Casablanca,1942,100,,,t,8.5
The Illusionist,2006,86,,,t,7.6
Snow White and the Seven Dwarfs,1937,96,,,t,7.6
Eraserhead,1977,90,,,t,7.4
In the Mood for Love,2000,89,,,t,8.1
Sugar,2004,86,,,,5.5
Sugar,2004,86,,,,5.5
Requiem,2001,86,,,,5.2
Requiem,2001,86,,,,6.7
Requiem,2001,86,,,,5.5
Downfall,2004,86,,t,t,8.2
Platoon,1986,95,t,,t,8.1
Y Tu Mamá También,2001,91,t,,t,7.7
It's a Wonderful Life,1946,92,,t,t,8.6
The Wicker Man,1973,90,,,t,7.6
Memories of Murder,2003,86,,t,t,8.1
Goldfinger,1964,90,,,t,7.7
Amores Perros,2000,87,,,t,8.1
Hero,2002,88,,,t,7.9
Superman II,1980,90,,,t,6.8
My Left Foot,1989,99,,,t,7.9
From Russia with Love,1963,88,,,t,7.4
Persona,1966,89,,,t,8.1
Tell No One,2006,86,,,t,7.5
The Host,2006,88,,,t,7
Deep Red,1975,92,,t,t,7.7
The African Queen,1951,94,,t,t,7.9
The Return,2003,86,,,t,8
Tess,1979,86,,,t,7.3
The Magdalene Sisters,2002,87,,,t,7.8
Like Water for Chocolate,1992,90,,,t,7.2
The Servant,1963,96,,,t,7.9
Nobody's Fool,1994,89,,,t,7.4
"Spring, Summer, Fall, Winter... and Spring",2003,88,,,t,8.1
Harakiri,1962,88,,,t,8.7
The Ladykillers,1955,94,,,t,7.8
Atlantic City,1980,88,,,t,7.4
The Namesake,2006,86,,,t,7.5
Nobody Knows,2004,91,,,t,8.1
High Hopes,1988,88,,,t,7.5
Raising Victor Vargas,2002,87,,t,t,7.1
The Sun,2005,88,,,t,7.4
Ten,2002,89,,,t,7.5
Maborosi,1995,94,,,t,7.6
Osama,2003,87,,,t,7.4
Late Marriage,2001,86,,,t,7.2
Dracula: Pages from a Virgin's Diary,2002,87,,,t,7
The Wind Will Carry Us,1999,90,,,t,7.6
The Maid,2005,86,,,t,5.8
I'm Going Home,2001,89,,,t,7
The Circle,2002,88,,t,t,5
Mutual Appreciation,2005,87,,,t,6.9
Gilles' Wife,2004,86,,,t,6.8
Together,2000,87,,,t,7.5
Touching the Void,2003,86,,,t,8
Street Fight,2005,88,t,t,t,8
The Death of Mr. Lazarescu,2005,89,,,t,8
Sweet Sixteen,2002,89,,,t,7.5
The Circus,1928,93,,,t,8.1
Dave Chappelle's Block Party,2005,87,,,t,7.2
One Day in September,1999,86,,,t,7.9
Crumb,1994,95,,,t,8
Los Angeles Plays Itself,2003,89,,,t,8
Beauty and the Beast,1987,97,,,t,6.2
Let's Get Lost,1988,89,,,t,7.9
Festival Express,2003,88,,,t,7.6
Winged Migration,2001,86,,,t,8
The Return,2006,86,,,t,4.8
Life Is Sweet,1990,91,,,t,7.5
The Man Without a Past,2002,88,,,t,7.7
Das Boot,1981,89,,,t,8.4
The Long Day Closes,1992,88,,,t,7.5
